,,Q1 ,Q2,,,,,,Q3,,,,Q4,,,,,,,,,,,,,,,,Q5,Q6,Q7,,,,,,,,,,,,,,,,Q8,Q9,Q10,Q11
,,Q1 ,Q2-1,Q2-2,Q2-3,Q2-4,Q2-5,Q2-6,Q3-1tpc,Q3-2sp,Q3-3tab,Q3-4ord,Q4-1,Q4-2,Q4-3,Q4-4,Q4-5,Q4-6,Q4-7,Q4-8,Q4-9,Q4-10,Q4-11,Q4-12,Q4-13,Q4-14,Q4-15,Q4-16,Q5,Q6,Q7-1,Q7-2,Q7-3,Q7-4,Q7-5,Q7-6,Q7-7,Q7-8,Q7-9,Q7-10,Q7-11,Q7-12,Q7-13,Q7-14,Q7-15,Q7-16,Q8,Q9,Q10,Q11
SV1,ESI29,papier,1,,,,,,non,ot,non,non,,,,1,,,,,,1,,,,,,,js,qqf,,,,,,,,,,,,,,,1,,NA,NA,F,19
SV1,ESI30,papier,1,,,,,,osp,non,non,non,,,,1,,,,,,1,,1,,,,,js,js,,,,,,,,,,,,,,,,1,js,js,F,19
SV1,ESI31,papier,1,,,,,,non,non,non,non,,,,,,,,,,,,,,,1,,NA,NA,,,,,,,,,,,,,,,1,,NA,NA,F,40
SV1,ESI32,papier,,,,,,1,NR,ot,NR,NR,,,,,,,,,,,,,,1,,,js,js,,,,,,,,,,,,,,,1,,NA,NA,F,20
SV1,ESI33,papier,,1,,,,,non,osp,non,non,,,,1,1,,,,,,,1,,,,,qqf,qqf,,,,,,,,,,,,,,,1,,NA,NA,F,23
SV1,ESI34,papier,1,1,,,,,ot,ot,non,non,,,,1,1,,,,,1,1,1,,,,,qqf,qqf,,,,,,,1,,1,,,,,,,,js,js,F,27
SV1,ESI35,pas,,,,,,1,ot,non,non,non,,,,1,1,,1,,,1,,1,,,,,js,tt,,,,,,,,,,,,,,,1,,NA,NA,F,21
SV1,ESI36,X,1,,,,,,non,ot,non,ot,,1,,1,1,,,,1,1,1,1,,,,,qqf,sv,,,,,,,,,,1,1,,,,,,js,1X,F,19
SV1,ESI37,papier,1,,,,,,NR,osp,NR,NR,,,,1,,,,,,1,,,,,,,js,sv,,,,,,,,,,,,,,,1,,NA,NA,H,22
SV1,ESI38,ordi,,,,,,1,non,osp,non,ot,,,,,,,,,,,,,,1,,,js,1X,,,1,1,,,,,,,1,,,,,,tt,qqf,F,20
SV1,ESI39,papier,1,,,,,,ot,ot,NR,NR,,,,1,,,1,1,1,,,1,,,,,js,sv,,,,,,,,,,,,,,,1,,NA,NA,F,20
SV1,ESI40,papier,,,,,,1,non,non,non,non,,,,,,,,,,,,,,1,1,,NA,NA,,,,,,,,,,,,,,,1,,NA,NA,F,26
SV1,ESI41,papier,,,,,,1,NR,ot,NR,osp,1,,,,,,,,,,,,,,,,1X,js,,,,,,,,,,,,,,1,,,NR,NR,NR,29
SV1,ESI42,papier,,,,,,1,non,ot,non,non,,1,,1,,,,,,,,,,,,,qqf,qqf,,,,,,,,,,,,,,,1,,NA,NA,F,18
SV1,ESI43,ordi,1,,,,,,non,ot,non,ot,,,,1,1,,,1,,,,,,,,,js,sv,,,1,,,,,,,,,,,,,,js,qqf,F,19
SV1,ESI44,papier,1,,,,,,NR,ot,NR,ot,,,,,,,,,,,,,,,,1,nvp,nvp,,,,,,,,,,,,,,,,1,nvp,nvp,H,x
